Applicants,American Indian or Alaska Native,Asian,"Black or
African American","Hispanic, Latino, or of Spanish Origin","Native Hawaiian or
Other Pacific Islander",White,Other,Multiple Race/Ethnicity,Unknown Race/Ethnicity,Non-U.S. Citizen and Non-Permanent Resident,Total
MCAT CPBS Mean,124.6,127.2,"124.1","124.9","125.7",126.5,126.2,125.9,126.8,127.1,126.3
MCAT CPBS SD,2.6,2.6,"2.7","2.7","2.9",2.5,2.7,2.7,2.6,2.8,2.7
MCAT CARS Mean,124.4,126.1,"123.8","124.3","125.3",126.4,125.2,125.6,126.5,125.4,125.9
CAT CARS SD,2.5,2.7,"2.6","2.7","3.0",2.5,2.8,2.7,2.5,2.7,2.7
MCAT BBLS Mean,124.9,127.2,"124.4","125.3","125.7",126.9,126.4,126.3,126.9,127.3,126.6
MCAT BBLS SD,2.7,2.6,"2.7","2.7","3.3",2.5,2.7,2.7,2.5,2.8,2.7
MCAT PSBB Mean,124.7,127.4,"124.8","125.4","126.0",127.2,126.6,126.5,127.3,127.1,126.8
MCAT PSBB SD,2.8,2.6,"2.8","2.9","3.3",2.5,2.8,2.8,2.5,2.9,2.7
Total MCAT Mean,498.6,507.9,"497.1","499.9","502.8",507.1,504.3,504.4,507.5,506.9,505.6
Total MCAT SD,9.00,8.90,"9.10","9.40","11.20",8.20,9.30,9.30,8.10,9.60,9.3
GPA Science Mean,3.23,3.51,"3.13","3.30","3.31",3.54,3.43,3.40,3.43,3.54,3.47
GPA Science SD,0.64,0.41,"0.49","0.46","0.57",0.37,0.44,0.45,0.43,0.46,0.43
GPA Non-Science Mean,3.55,3.73,"3.54","3.62","3.53",3.75,3.71,3.68,3.66,3.73,3.71
GPA Non-Science SD,0.43,0.26,"0.34","0.32","0.45",0.26,0.29,0.30,0.33,0.29,0.28
GPA Total Mean,3.38,3.60,"3.31","3.43","3.39",3.63,3.55,3.52,3.53,3.62,3.57
GPA Total SD,0.51,0.32,"0.39","0.37","0.49",0.29,0.34,0.35,0.35,0.35,0.34
Total Applicants,109,"11,218","4,430","3,297","53","24,686","1,167","4,856","1,013","1,948","52,777"
